pt,country_group,n_sims,median_risk_observed,lower_95_observed,upper_95_observed,median_risk_corrected,lower_95_corrected,upper_95_corrected,n_exposed
Weak pulse,Australia,1000,0.008938093461426863,0.0057995496070734655,0.013420958121957191,0.052406047786954846,0.017157214717106545,0.12565454806948043,103765624
Anal sac disorder,Australia,1000,0.007944971965712767,0.005155155206287524,0.011929740552850836,0.046583153588404314,0.015250857526316927,0.11169293161731592,103765624
Blindness,Australia,1000,0.007944971965712767,0.005155155206287524,0.011929740552850836,0.046583153588404314,0.015250857526316927,0.11169293161731592,103765624
Distension of abdomen,Australia,1000,0.007944971965712767,0.005155155206287524,0.011929740552850836,0.046583153588404314,0.015250857526316927,0.11169293161731592,103765624
Dysphagia,Australia,1000,0.007944971965712767,0.005155155206287524,0.011929740552850836,0.046583153588404314,0.015250857526316927,0.11169293161731592,103765624
Ear infection NOS,Australia,1000,0.007944971965712767,0.005155155206287524,0.011929740552850836,0.046583153588404314,0.015250857526316927,0.11169293161731592,103765624
Hypothermia,Australia,1000,0.007944971965712767,0.005155155206287524,0.011929740552850836,0.046583153588404314,0.015250857526316927,0.11169293161731592,103765624
Injection site mass NOS,Australia,1000,0.007944971965712767,0.005155155206287524,0.011929740552850836,0.046583153588404314,0.015250857526316927,0.11169293161731592,103765624
Lymphoma,Australia,1000,0.007944971965712767,0.005155155206287524,0.011929740552850836,0.046583153588404314,0.015250857526316927,0.11169293161731592,103765624
Melaena,Australia,1000,0.007944971965712767,0.005155155206287524,0.011929740552850836,0.046583153588404314,0.015250857526316927,0.11169293161731592,103765624
Mydriasis,Australia,1000,0.007944971965712767,0.005155155206287524,0.011929740552850836,0.046583153588404314,0.015250857526316927,0.11169293161731592,103765624
Myoclonus,Australia,1000,0.007944971965712767,0.005155155206287524,0.011929740552850836,0.046583153588404314,0.015250857526316927,0.11169293161731592,103765624
Neoplasia NOS,Australia,1000,0.007944971965712767,0.005155155206287524,0.011929740552850836,0.046583153588404314,0.015250857526316927,0.11169293161731592,103765624
Pica NOS,Australia,1000,0.007944971965712767,0.005155155206287524,0.011929740552850836,0.046583153588404314,0.015250857526316927,0.11169293161731592,103765624
Pyuria,Australia,1000,0.007944971965712767,0.005155155206287524,0.011929740552850836,0.046583153588404314,0.015250857526316927,0.11169293161731592,103765624
Syncope,Australia,1000,0.007944971965712767,0.005155155206287524,0.011929740552850836,0.046583153588404314,0.015250857526316927,0.11169293161731592,103765624
Vulvovaginitis,Australia,1000,0.007944971965712767,0.005155155206287524,0.011929740552850836,0.046583153588404314,0.015250857526316927,0.11169293161731592,103765624
Adrenal gland disorder NOS,Australia,1000,0.006951850469998671,0.004510760805501584,0.01043852298374448,0.04076025938985377,0.013344500335527313,0.09773131516515145,103765624
Cardiac insufficiency,Australia,1000,0.006951850469998671,0.004510760805501584,0.01043852298374448,0.04076025938985377,0.013344500335527313,0.09773131516515145,103765624
Circulatory shock,Australia,1000,0.006951850469998671,0.004510760805501584,0.01043852298374448,0.04076025938985377,0.013344500335527313,0.09773131516515145,103765624
Congested mucous membrane,Australia,1000,0.006951850469998671,0.004510760805501584,0.01043852298374448,0.04076025938985377,0.013344500335527313,0.09773131516515145,103765624
